account;AcceptPrimaryEmailUpdate,CloseAccount,DeleteAlternateContact,DisableRegion,EnableRegion,GetAccountInformation,GetAlternateContact,GetContactInformation,GetPrimaryEmail,GetRegionOptStatus,ListRegions,PutAccountName,PutAlternateContact,PutContactInformation,StartPrimaryEmailUpdate,account,accountInOrganization,account:AccountResourceOrgPaths,account:AccountResourceOrgTags/${TagKey},account:AlternateContactTypes,account:EmailTargetDomain,account:TargetRegion
action-recommendations;ListRecommendedActions
activate;CreateForm,GetAccountContact,GetContentInfo,GetCosts,GetCredits,GetMemberInfo,GetProgram,PutMemberInfo
aiops;CreateInvestigation,CreateInvestigationEvent,CreateInvestigationGroup,CreateInvestigationResource,CreateReport,DeleteInvestigation,DeleteInvestigationGroup,DeleteInvestigationGroupPolicy,GenerateReport,GetEphemeralInvestigationResults,GetFact,GetFactVersions,GetInvestigation,GetInvestigationEvent,GetInvestigationGroup,GetInvestigationGroupPolicy,GetInvestigationResource,GetReport,ListFacts,ListInvestigationEvents,ListInvestigationGroups,ListInvestigations,ListReports,ListTagsForResource,PutFact,PutInvestigationGroupPolicy,TagResource,UntagResource,UpdateInvestigation,UpdateInvestigationEvent,UpdateInvestigationGroup,UpdateReport,ValidateInvestigationGroup,investigation-group,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
a4b;ApproveSkill,AssociateContactWithAddressBook,AssociateDeviceWithNetworkProfile,AssociateDeviceWithRoom,AssociateSkillGroupWithRoom,AssociateSkillWithSkillGroup,AssociateSkillWithUsers,CompleteRegistration,CreateAddressBook,CreateBusinessReportSchedule,CreateConferenceProvider,CreateContact,CreateGatewayGroup,CreateNetworkProfile,CreateProfile,CreateRoom,CreateSkillGroup,CreateUser,DeleteAddressBook,DeleteBusinessReportSchedule,DeleteConferenceProvider,DeleteContact,DeleteDevice,DeleteDeviceUsageData,DeleteGatewayGroup,DeleteNetworkProfile,DeleteProfile,DeleteRoom,DeleteRoomSkillParameter,DeleteSkillAuthorization,DeleteSkillGroup,DeleteUser,DisassociateContactFromAddressBook,DisassociateDeviceFromRoom,DisassociateSkillFromSkillGroup,DisassociateSkillFromUsers,DisassociateSkillGroupFromRoom,ForgetSmartHomeAppliances,GetAddressBook,GetConferencePreference,GetConferenceProvider,GetContact,GetDevice,GetGateway,GetGatewayGroup,GetInvitationConfiguration,GetNetworkProfile,GetProfile,GetRoom,GetRoomSkillParameter,GetSkillGroup,ListBusinessReportSchedules,ListConferenceProviders,ListDeviceEvents,ListGatewayGroups,ListGateways,ListSkills,ListSkillsStoreCategories,ListSkillsStoreSkillsByCategory,ListSmartHomeAppliances,ListTags,PutConferencePreference,PutDeviceSetupEvents,PutInvitationConfiguration,PutRoomSkillParameter,PutSkillAuthorization,RegisterAVSDevice,RegisterDevice,RejectSkill,ResolveRoom,RevokeInvitation,SearchAddressBooks,SearchContacts,SearchDevices,SearchNetworkProfiles,SearchProfiles,SearchRooms,SearchSkillGroups,SearchUsers,SendAnnouncement,SendInvitation,StartDeviceSync,StartSmartHomeApplianceDiscovery,TagResource,UntagResource,UpdateAddressBook,UpdateBusinessReportSchedule,UpdateConferenceProvider,UpdateContact,UpdateDevice,UpdateGateway,UpdateGatewayGroup,UpdateNetworkProfile,UpdateProfile,UpdateRoom,UpdateSkillGroup,profile,room,device,skillgroup,user,addressbook,conferenceprovider,contact,schedule,networkprofile,gateway,gatewaygroup,a4b:amazonId,a4b:filters_deviceType,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
mediaimport;CreateDatabaseBinarySnapshot
amplify;AssociateWebACL,CreateApp,CreateBackendEnvironment,CreateBranch,CreateDeployment,CreateDomainAssociation,CreateWebHook,DeleteApp,DeleteBackendEnvironment,DeleteBranch,DeleteDomainAssociation,DeleteJob,DeleteWebHook,DisassociateWebACL,GenerateAccessLogs,GetApp,GetArtifactUrl,GetBackendEnvironment,GetBranch,GetDomainAssociation,GetJob,GetWebACLForResource,GetWebHook,ListApps,ListArtifacts,ListBackendEnvironments,ListBranches,ListDomainAssociations,ListJobs,ListResourcesForWebACL,ListTagsForResource,ListWebHooks,StartDeployment,StartJob,StopJob,TagResource,UntagResource,UpdateApp,UpdateBranch,UpdateDomainAssociation,UpdateWebHook,apps,branches,jobs,domains,webhooks,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
amplifybackend;CloneBackend,CreateBackend,CreateBackendAPI,CreateBackendAuth,CreateBackendConfig,CreateBackendStorage,CreateToken,DeleteBackend,DeleteBackendAPI,DeleteBackendAuth,DeleteBackendStorage,DeleteToken,GenerateBackendAPIModels,GetBackend,GetBackendAPI,GetBackendAPIModels,GetBackendAuth,GetBackendJob,GetBackendStorage,GetToken,ImportBackendAuth,ImportBackendStorage,ListBackendJobs,ListS3Buckets,RemoveAllBackends,RemoveBackendConfig,UpdateBackendAPI,UpdateBackendAuth,UpdateBackendConfig,UpdateBackendJob,UpdateBackendStorage,created-backend,backend,environment,api,auth,job,config,token,storage
amplifyuibuilder;CreateComponent,CreateForm,CreateTheme,DeleteComponent,DeleteForm,DeleteTheme,ExchangeCodeForToken,ExportComponents,ExportForms,ExportThemes,GetCodegenJob,GetComponent,GetForm,GetMetadata,GetTheme,ListCodegenJobs,ListComponents,ListForms,ListTagsForResource,ListThemes,PutMetadataFlag,RefreshToken,ResetMetadataFlag,StartCodegenJob,TagResource,UntagResource,UpdateComponent,UpdateForm,UpdateTheme,CodegenJobResource,ComponentResource,FormResource,ThemeResource,amplifyuibuilder:CodegenJobResourceAppId,amplifyuibuilder:CodegenJobResourceEnvironmentName,amplifyuibuilder:CodegenJobResourceId,amplifyuibuilder:ComponentResourceAppId,amplifyuibuilder:ComponentResourceEnvironmentName,amplifyuibuilder:ComponentResourceId,amplifyuibuilder:FormResourceAppId,amplifyuibuilder:FormResourceEnvironmentName,amplifyuibuilder:FormResourceId,amplifyuibuilder:ThemeResourceAppId,amplifyuibuilder:ThemeResourceEnvironmentName,amplifyuibuilder:ThemeResourceId,aws:RequestTag/${TagKey},aws:ResourceTag/${TagKey},aws:TagKeys
kafka-cluster;AlterCluster,AlterClusterDynamicConfiguration,AlterGroup,AlterTopic,AlterTopicDynamicConfiguration,AlterTransactionalId,Connect,CreateTopic,DeleteGroup,DeleteTopic,DescribeCluster,DescribeClusterDynamicConfiguration,DescribeGroup,DescribeTopic,DescribeTopicDynamicConfiguration,DescribeTransactionalId,ReadData,WriteData,WriteDataIdempotently,cluster,topic,group,transactional-id,aws:ResourceTag/${TagKey}
